Category,Item,QOH,Cost Value,Total Cost Value,Retail Value,Total Retail Value
MILLER,MILLER HIGHLIFE 30 PACK,9,15.36,138.24,21.99,197.91
MILLER,MILLER HIGHLIFE LIGHT 12OZ NR LOOSE CASE,2,13.70,27.40,21.29,42.58
MILLER,MILLER HIGHLIFE LIGHT 30 PACK,10,14.78,147.80,20.75,207.50
MILLER,MILLER 64 30 PACK,13,18.70,243.10,23.79,309.27
MILLER,RED DOG 30 PACK,5,14.79,73.95,18.99,94.95
,Total,394,,$1190.5,,$9207.6
MILWAUKEE,,,,
MILWAUKEE,MILWAUKEE B. LIGHT 30 PACK,9,12.67,114.03,16.49,148.41
MILWAUKEE,MILWAUKEE BEST30 PACK,13,12.77,166.01,16.49,214.37
MILWAUKEE,MILWAUKEE B. ICE 30 PACK,16,12.76,204.16,16.49,263.84
,Total,38,,$484.2,,$626.62
MISC. DOMESTIC,,,,
MISC. DOMESTIC,BLACK LABEL 24 PACK CAN,10,11.96,119.60,15.59,155.90
MISC. DOMESTIC,HURRICANE2/12 PK CAN CASE,312,0.36,112.32,11.69,3647.28
,Total,322,,$231.92,,$3803.18
MICRO BREW,,,,
MICRO BREW,21ST AMEND. VAR.2/12 PK CAN CASE,36,1.10,39.60,37.19,1338.84
MICRO BREW,21ST AMEND. BREW FREE IPA 4/6 PK CAN CASE,126,1.10,138.60,37.19,4685.94
MICRO BREW,21ST AMEND BACK IN BLACK 4/6 PK CAN CASE,42,1.10,46.20,37.19,1561.98
MICRO BREW,OLD FORGE16OZ CANS3/8PK CASE,4,0.62,2.48,19.99,79.96
MICRO BREW,BLUE MOON 2/12 PK  NR CASE,360,1.13,406.80,37.98,13672.80
MICRO BREW,MAGIC HAT #9 2/12 PK NR CASE,120,1.15,138.00,38.99,4678.80
MICRO BREW,MAGIC HAT VARIETY 2/12 PK NR CASE,36,1.17,42.12,36.19,1302.84
MICRO BREW,DOGFISH 60 MINUTE NR CASE,174,1.30,226.20,43.39,7549.86
MICRO BREW,DOGFISH 90 MINUTE 6/4 PK NR CASE,92,1.82,167.44,62.69,5767.48
MICRO BREW,BLUE MOON VAR.2/12 PK NR CASE,108,1.17,126.36,37.98,4101.84
MICRO BREW,FLYING FISH VARIETY 2/12 PK  NR CASE,72,1.19,85.68,40.79,2936.88
MICRO BREW,DOGFISH BURTON12 OZ NR 6/4  PK CASE,56,2.66,148.96,85.39,4781.84
MICRO BREW,EVIL GENIUS PURPLE MONKEY 4/6 NR CASE,78,1.33,103.74,44.99,3509.22
MICRO BREW,GREAT LAKES DORT 4/6 PK NR CASE,30,1.19,35.70,39.99,1199.70
MICRO BREW,GREAT LAKES ELIOT NESS 4/6 PK NR CASE,24,1.22,29.28,39.99,959.76
MICRO BREW,GREAT LAKES COMM.IPA 4/6 PK CASE,144,1.21,174.24,39.99,5758.56
MICRO BREW,GREAT LAKES EDM. FITZ. 4/6 PK NR CASE,42,1.19,49.98,39.99,1679.58
MICRO BREW,BLUE MOON 6/4 PK  16 OZ CAN CASE,60,1.13,67.80,36.99,2219.40
MICRO BREW,SHINER BOCK 4/6 PK NR CASE,18,1.14,20.52,36.29,653.22
MICRO BREW,SHINER VARIETY 2/12 PK NR CASE,36,1.14,41.04,38.49,1385.64
MICRO BREW,SHINER RUBY RED 4/6 PK  NR CASE,36,1.11,39.96,36.29,1306.44
MICRO BREW,BLUE MOON VARIETY 2/12 PK CAN CASE,192,1.03,197.76,32.99,6334.08
MICRO BREW,MAGIC HAT  CANTASTIC VARIETY 2/12 PK CAN CASE,156,1.13,176.28,38.99,6082.44
MICRO BREW,MAGIC HAT #9 2/12 PK CAN CASE,96,1.13,108.48,38.99,3743.04
MICRO BREW,CONEY ISLAND VARIETY 2/12 PK  NR CASE DISC,24,1.24,29.76,45.99,1103.76
MICRO BREW,FIRESTONE WALKER UNION JACK IPA 4/6 PK NR CASE,78,1.31,102.18,44.39,3462.42
MICRO BREW,MAGIC HAT DREAM MACHIN 2/12 PK  NR CASE,36,1.13,40.68,38.99,1403.64
MICRO BREW,SPRING HOUSE LEX. DEV 4/6 PKCAN CASE,78,1.32,102.96,39.99,3119.22
MICRO BREW,SPRING HOUSE SHE MO4/6 PK CAN CASE,48,1.32,63.36,39.99,1919.52
MICRO BREW,MAGIC HAT BOBS 1ST ALE 4/6 PK NR CASE,12,1.13,13.56,36.19,434.28
MICRO BREW,DOGFISH MIDAS TOUCH 6/4  NR CASE,40,2.29,91.60,73.99,2959.60
MICRO BREW,DOGFISH 60 MINUTE CAN CASE,132,1.30,171.60,43.39,5727.48
MICRO BREW,SIERRA NEV. PALE ALE 2/12 PK NR CASE,216,1.17,252.72,39.69,8573.04
MICRO BREW,VICTORY GOLD MONKEY2/12 NR CAS,84,1.58,132.72,53.49,4493.16
MICRO BREW,VICTORY PRIMA PILSNER2/12 PK NR CASE,96,1.22,117.12,41.29,3963.84
MICRO BREW,SAM  ADAMS BOSTON LAGER2/12 PK NR CASE,228,1.25,285.00,41.89,9550.92
MICRO BREW,SAM  ADAMS CHERRY WHEAT 4/6 PK NR CASE,114,1.32,150.48,41.89,4775.46
