Item Type,SKU,Item Name,QOH,Selling Price,Unit Per Case,Department,Category,Size
Standard,TRD,TAP RENTAL DEPOSIT,0,30.00,1,RENTAL EQUIPMENT,RENTAL EQUIPMENT,
Standard,TUB,TUB INSULATED RENTAL,0,15.00,1,RENTAL EQUIPMENT,RENTAL EQUIPMENT,
Standard,BAR,BARREL DEPOSIT,2,30.00,1,RENTAL EQUIPMENT,RENTAL EQUIPMENT,
Standard,024100577309,CHEEZ IT DUO,0,1.99,1,SNACKS,,
Standard,024100577217,CHEEZ SNACK MIX DBL CHEESE,1,1.99,1,SNACKS,,
Standard,024100577163,CHEEZ SNACK MIX CLASSIC,0,1.99,1,SNACKS,,
Standard,032823943035,TOAD ALLY TRIPLE PLAY,0,1.39,1,SNACKS,,
Standard,032823160036,TOAD ALLY KANGA ROOS,0,1.39,1,SNACKS,,
Standard,032823400033,TOAD ALLY CHOCZELS,0,1.39,1,SNACKS,,
Standard,032823100032,TOAD ALLY CHOCOLATE,0,1.39,1,SNACKS,,
Standard,032823140038,TOAD ALLY HANKY PANKY,0,1.39,1,SNACKS,,
Standard,026200471341,ANDY CAPP BBQ FRIES,0,0.99,1,SNACKS,,
Standard,026200471600,ANDY CAPP CHEDDAR FRIES,0,0.99,1,SNACKS,,
Standard,026200471617,ANDY CAPP HOT FRIES,0,0.99,1,SNACKS,,
Standard,683203904025,REVOLUTIONARY PRETZEL PIECES,0,3.99,1,SNACKS,,
Standard,012000504082,MTN DEW 16.9 OZ BOTTLE,0,1.49,1,SODA,COKE COLA,
Standard,01284908,MTN DEW 24 OZ BOTTLE,0,1.79,1,SODA,COKE COLA,
Standard,01201303,PEPSI CAN,0,0.89,1,SODA,COKE COLA,
Standard,052000328677,GATORADE,26,1.79,1,TAXABLE MISC,,
Standard,CO2 2.5,CO2  - 2 1/2 LB,0,8.49,1,TAXABLE MISC,CO2,
Standard,CO2 5,CO2 -  5 LB,-1,12.29,1,TAXABLE MISC,CO2,
Standard,CO210,CO2 -  10 LB,0,18.89,1,TAXABLE MISC,CO2,
Standard,LGTACE,ACE LIGHTER,0,0.99,1,TAXABLE MISC,LIGHTER,
Standard,070330604599,BIC BIG LIGHTERS,130,2.49,1,TAXABLE MISC,LIGHTER,
Standard,07033245,BIC LITTE LIGHTERS,20,1.89,1,TAXABLE MISC,LIGHTER,
Standard,073854000922,PLAYING CARDS,7,2.49,1,TAXABLE MISC,LIGHTER,
Standard,853195009590,ELECTRONIC LIGHTER WITH LED,98,2.49,1,TAXABLE MISC,LIGHTER,
Standard,834810001458,CLEAR LIGHTERS,75,0.89,1,TAXABLE MISC,LIGHTER,
Standard,844429000001,BEER BALL TAP,0,5.99,1,TAXABLE MISC,MISC TAXABLE,
Standard,059245592450,ICE CHEST,1,5.49,1,TAXABLE MISC,MISC TAXABLE,
Standard,077170510004,TOP,0,2.09,1,TAXABLE MISC,MISC TAXABLE,
Standard,049000050103,COKE 2lit soda,0,2.49,1,TAXABLE MISC,MISC TAXABLE,
Standard,076183202005,SNAPPLE ICE TEA,18,1.79,1,TAXABLE MISC,MISC TAXABLE,
Standard,HYDRO,CO2 HYDRO TESTING,0,2.99,1,TAXABLE MISC,MISC TAXABLE,
Standard,804879289319,ROASTED CORN NUTS,0,3.48,1,TAXABLE MISC,MISC TAXABLE,
Standard,066619019215,PREMIER TUBES LIGHTS KING,22,3.99,1,TAXABLE MISC,MISC TAXABLE,
Standard,066619100036,PREMIER TUBES MEN. LIGHT KING,25,3.99,1,TAXABLE MISC,MISC TAXABLE,
Standard,066619001326,PREMIER TUBES FULL FLAVOR KING,25,3.99,1,TAXABLE MISC,MISC TAXABLE,
Standard,066619019161,PREMIER TUBES FULL FLAVOR 100,26,3.99,1,TAXABLE MISC,MISC TAXABLE,
Standard,637509674236,BOOM 16 OZ CUPS,1,2.99,1,TAXABLE MISC,MISC TAXABLE,
